,treatments,exclude_female,exclude_male,exclude_nestling,exclude_fitness
79,MASSLOSS,yes,yes,yes,yes
41,Mate_Color_Dull,no,no,no,no
56,Mate_Color_Sham,no,no,no,no
22,Mate_Control,no,no,no,no
81,Mate_Control_Control,no,no,no,no
162,Mate_Control_Dull,no,no,no,no
99,Mate_Control_Predator,no,no,no,no
137,Mate_Control_Tape,no,no,no,no
19,Mate_Cort,no,no,no,no
169,Mate_CORT_3d,no,no,no,no
158,Mate_CORT_6d,no,no,no,no
188,Mate_CORT_XFoster,no,no,no,no
153,Mate_DMSO_6d,no,no,no,no
190,Mate_DMSO_XFoster,no,no,no,no
143,Mate_Dull_Control,no,no,no,no
83,Mate_Dull_Predator,no,no,no,no
130,Mate_Dull_Tape,no,no,no,no
183,Mate_High_Tape,no,no,no,no
21,Mate_Light,no,no,no,no
23,Mate_Light_Control,no,no,no,no
148,Mate_Low_Tape,no,no,no,no
156,Mate_Predator,no,no,no,no
141,Mate_Predator_Control,no,no,no,no
67,Mate_Predator_Dull,no,no,no,no
163,Medium_Tape,yes,yes,yes,yes
308,Medium_Tape,yes,yes,yes,yes
175,"MFW, R",no,no,no,no
228,MINKINBOX,yes,yes,yes,yes
284,NestlingCortValid,yes,yes,yes,yes
229,non,no,no,no,no
16,None,no,no,no,no
236,None,no,no,no,no
321,NonPred,no,no,no,no
259,Novel,no,no,no,no
241,NUL.0.000,no,no,no,no
272,OBS.1.084,no,no,no,no
109,OBS.2.037,no,no,no,no
279,OBS.2.037,no,no,no,no
35,OBS.4.041,no,no,no,no
248,OBS.4.041,no,no,no,no
299,OBS.4.083,no,no,no,no
171,OBS.5.041,no,no,no,no
316,OBS.5.041,no,no,no,no
96,OBS.7.041,no,no,no,no
275,OBS.7.041,no,no,no,no
1,oral_antibiotic,yes,yes,yes,yes
2,oral_control,no,no,no,no
322,Pred,yes,yes,yes,yes
290,Pred_Con,yes,yes,yes,yes
260,Pred_Dul,yes,yes,yes,yes
157,Predator,yes,yes,yes,yes
303,Predator,yes,yes,yes,yes
142,Predator_Control,yes,yes,yes,yes
68,Predator_Dull,yes,yes,yes,yes
17,Prev_Control,no,no,no,no
237,Prev_Control,no,no,no,no
18,Prev_Cort,no,no,no,no
238,Prev_Cort,no,no,no,no
70,Radio,no,no,no,no
117,RADIO,no,no,no,no
282,Radio,no,no,no,no
127,RespTS,no,no,no,no
283,RespTS,no,no,no,no
78,RFID,no,no,no,no
75,RFIDON,no,no,no,no
